"completion_task","observed_timepoint","obsNum","PB"
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.17292632
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.15544528
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.13797604
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.1971861
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.21950689
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.19704059
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.18290249
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.21460153
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.18739197
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.17662802
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.16021141
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.1679154
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.15356345
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.20373808
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.215534
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.15687317
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.22014648
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.21803455
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.16286387
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.17842923
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.18123278
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.16366215
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.19547656
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.13512115
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.12080224
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.13228033
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.16413052
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.18360211
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.15790233
